15
B16040801     88    		75.5  			66
B16040802     91    		79.5  			76
B16040803     85    		75  			77
B16040804     79    		82    			80.5
B16040805     94    		83.5  			81.5
B16040806     80    		69    			68
B16040807     82    		77    			71
B16040808     77    		57    			58
B16040809     91    		88    			86
B16040810     96    		89    			90
B16040814     70    		45.5   			50
B16040812     74    		65    			66
B16040813     81    		71    			76
B16040814     83    		75    			77
B16040815     85    		78    			79
